,antecedents,consequents,support,confidence,lift
0,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Rural(%): (-0.094, 31.333]'})",0.56,1.0,1.6129032258064517
1,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.56,1.0,1.282051282051282
2,"frozenset({'Total(%): (-0.095, 31.667]'})","frozenset({'Richest(%): (-0.095, 31.667]'})",0.56,1.0,1.7857142857142856
3,"frozenset({'Richest(%): (-0.095, 31.667]'})","frozenset({'Total(%): (-0.095, 31.667]'})",0.56,1.0,1.7857142857142856
4,"frozenset({'Rural(%): (-0.094, 31.333]'})","frozenset({'Poorest(%): (-0.086, 28.667]'})",0.62,1.0,1.282051282051282
